"ID","NAME","CAPACITY","ROOMTYPE","ADDRESS","MUNICIPALITY"
104,"TEATRO ESTUDIO DA ASSOC REC AURORA DA LIBERDADE",168,5,"R DO GODINHO 445",1308
105,"CASA DO POVO DE STA CRUZ DO BISPO",100,3,"STA CRUZ DO BISPO",1308
106,"CINEMA NORTESHOPPING - SALA 1 VIP",67,15,"RUA SARA AFONSO, 105-107- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
107,"CINEMA NORTESHOPPING - SALA 2",268,15,"RUA SARA AFONSO, 105-107- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
108,"CINEMA NORTESHOPPING - SALA 3",476,15,"RUA SARA AFONSO, 105-117- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
109,"CINEMA NORTESHOPPING - SALA 4",267,15,"RUA SARA AFONSO, 105-117- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
110,"CINEMA NORTESHOPPING - SALA 5",201,15,"RUA SARA AFONSO, 105-117- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
111,"CINEMA NORTESHOPPING - SALA 6",159,15,"RUA SARA AFONSO, 105-117- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
112,"CINEMA NORTESHOPPING - SALA 7",266,15,"RUA SARA AFONSO, 105-117- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
113,"CINEMA NORTESHOPPING - SALA 8",266,15,"RUA SARA AFONSO, 105-117- CENTRO COMERCIAL NORTESHOPPING - MATOSINHOS",1308
114,"CINEMA DO CENTRO SOCIAL PADRE RAMOS",676,17,"LG DR FERNANDO AROSO - LAVRA",1308
115,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 1",452,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
116,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 2",121,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
117,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 3",90,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
118,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 4",164,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
119,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 5",78,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
120,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 6",103,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
121,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA 7",73,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
122,"CINEMA NOS LUSOMUNDO MAR SHOPPING - SALA IMAX",442,15,"AV FERNANDO TÁVORA  231 - LEÇA DA PALMEIRA",1308
123,"AUDITÓRIO EXPONOR",958,7,"AV DR ANTÓNIO MACEDO",1308
124,"CINEMA BÉBÉ",116,15,"PC DA BATALHA 47",1312
125,"TEATRO CARLOS ALBERTO",338,1,"RUA DAS OLIVEIRAS",1312
126,"CINEMA ESTUDIO CENTRO CARID N SRA PERPÉTUO SOCORRO",493,17,"RUA COSTA CABRAL 128",1312
127,"CINEMA PASSOS MANUEL",182,17,"RUA  PASSOS MANUEL Nº. 137",1312
128,"TEATRO NACIONAL DE S JOÃO",643,1,"PC DA BATALHA",1312
129,"CASA DE FADOS A CASA DA MARIQUINHAS",50,9,"RUA SÃO SEBASTIÃO 25",1312
130,"RESTAURANTE TÍPICO O FADO",64,9,"LARGO SÃO JOÃO NOVO 16-16A",1312
131,"CASA DE FADOS MAL COZINHADO",80,9,"RUA OUTEIRINHO 11",1312
132,"TEATRO DE BELOMONTE-TEATRO DE MARIONETAS DO PORTO",48,7,"R BELMONTE 57",1312
